1;Центральный рынок 3;08:25;10:05;12:15;14:18;16:12;18:26;20:18
2;ул. Володарского;08:29;10:09;12:19;14:22;16:16;18:30;20:22
3;Детская поликлиника;08:32;10:12;12:22;14:25;16:19;18:33;20:25
4;ул. Даудельная;08:35;10:15;12:25;14:28;16:22;18:36;20:28
5;ул. Циолковского;08:39;10:19;12:29;14:32;16:26;18:40;20:32
6;Алебашевский базар;08:42;10:22;12:32;14:35;16:29;18:43;20:35
7;озеро Алебашево;08:44;10:24;12:34;14:37;16:31;18:45;20:36
8;Стоматологическая поликлиника №1;08:47;10:27;12:37;14:40;16:34;18:48;20:39
9;проезд Юганский;08:50;10:30;12:40;14:43;16:37;18:51;20:41
10;УМВД по г. Тюмени;08:52;10:32;12:42;14:45;16:39;18:53;20:43
11;ул. Ветеранов Труда;08:52;10:32;12:42;14:45;16:39;18:53;20:43
12;з-д Керамзитовый;08:54;10:34;12:44;14:47;16:41;18:55;20:45
13;ул. Буровиков;08:56;10:36;12:46;14:49;16:43;18:57;20:47
14;Школа №45;08:58;10:38;12:48;14:51;16:45;18:59;20:49
15;п. ММС;09:00;10:40;12:50;14:53;16:47;19:01;20:51
16;ул. 70 лет Октября;09:01;10:41;12:51;14:54;16:48;19:02;20:52
17;ул. Электросетей;07:30;09:10;11:23;13:18;15:18;15:18;17:25;19:22
